Country Name,Country Code,PCA1,PCA2,KMeans_Cluster,Agg_Cluster
Sudan,SDN,-2.16498838235241,0.824646381368139,1,0
Suriname,SUR,0.2927695868194516,-0.0685359104235533,2,1
Sweden,SWE,2.8368426900232384,-0.03721283727151491,0,2
Switzerland,CHE,2.577196326214093,-0.439621139020516,0,2
Syrian Arab Republic,SYR,-0.7918043550742738,0.6791979260666496,2,1
Tajikistan,TJK,-0.950162748838518,1.3781236315508743,2,1
Tanzania,TZA,-2.7957198552874125,-0.7088713714245266,1,0
Thailand,THA,-0.04045994069399523,-0.7458760373156822,2,1
Timor-Leste,TLS,-1.8751460129575321,-0.39808784898735095,1,0
Togo,TGO,-3.265656918081788,-0.6249295662778025,1,0
Tonga,TON,-0.8918543704481899,-0.20177176869177435,2,1
Trinidad and Tobago,TTO,2.3895701097117366,-2.276763987909823,0,2
Tunisia,TUN,-0.10264948793945779,1.0927870981560828,2,1
Turkey,TUR,0.8509614406267056,0.5156955408141707,2,1
Turkmenistan,TKM,-0.3634387488335622,-0.26937472035508914,2,1
Turks and Caicos Islands,TCA,1.0770979181319622,-0.14016631065676385,2,2
Tuvalu,TUV,-0.4121482063075393,0.5802030526597909,2,1
Uganda,UGA,-3.3468535712171192,-0.606538402250408,1,0
Ukraine,UKR,0.010645601887909419,0.6336787633324641,2,1
United Arab Emirates,ARE,3.8410390783469164,-2.1029739225179163,0,2
United Kingdom,GBR,2.132903589421269,-0.11805183162180706,0,2
United States,USA,2.6444052811502927,-1.5934849419461716,0,2
Uruguay,URY,1.0574011516025585,0.7003553217897297,2,1
Uzbekistan,UZB,-0.30782974544791075,0.4739623752442706,2,1
Vanuatu,VUT,-1.710945363330018,-0.23274003055620648,1,0
"Venezuela, RB",VEN,1.222304737292551,-0.01634022004126983,2,1
Vietnam,VNM,-0.6673175760953485,-0.5409616613025304,2,1
Virgin Islands (U.S.),VIR,1.3945454011377596,0.5609126182507848,2,1
West Bank and Gaza,PSE,0.5396157284384144,3.2824237620844716,2,1
"Yemen, Rep.",YEM,-1.822850561141311,1.0479382407916085,1,0
Zambia,ZMB,-2.3234541209121553,0.054708978562223294,1,0
Zimbabwe,ZWE,-2.644472857387007,-0.28257478543838344,1,0
